recording_id,speaker,audio_path,y_true,n_segments,split,PC1,PC2,class_name
p226__p226_015_mic1,p226,VOiCES_devkit\source-16k\p226\p226_015_mic1.wav,0,2,train,0.48642457,0.08941987,not_allow
p226__p226_016_mic1,p226,VOiCES_devkit\source-16k\p226\p226_016_mic1.wav,0,3,train,0.09395982,0.015946984,not_allow
p226__p226_017_mic1,p226,VOiCES_devkit\source-16k\p226\p226_017_mic1.wav,0,1,train,0.17779443,0.47438067,not_allow
p226__p226_018_mic1,p226,VOiCES_devkit\source-16k\p226\p226_018_mic1.wav,0,2,train,-0.31288093,0.117201924,not_allow
p226__p226_019_mic1,p226,VOiCES_devkit\source-16k\p226\p226_019_mic1.wav,0,3,train,-0.09548211,0.130306,not_allow
p226__p226_020_mic1,p226,VOiCES_devkit\source-16k\p226\p226_020_mic1.wav,0,2,train,-0.0684018,0.20102632,not_allow
p226__p226_021_mic1,p226,VOiCES_devkit\source-16k\p226\p226_021_mic1.wav,0,3,train,0.03262621,0.26742786,not_allow
p226__p226_022_mic1,p226,VOiCES_devkit\source-16k\p226\p226_022_mic1.wav,0,3,train,0.4249813,0.08074668,not_allow
p226__p226_023_mic1,p226,VOiCES_devkit\source-16k\p226\p226_023_mic1.wav,0,4,train,-0.0015357342,0.2958355,not_allow
p226__p226_024_mic1,p226,VOiCES_devkit\source-16k\p226\p226_024_mic1.wav,0,3,train,0.39956167,0.055740863,not_allow
p226__p226_025_mic1,p226,VOiCES_devkit\source-16k\p226\p226_025_mic1.wav,0,1,train,-0.15759115,0.0040659904,not_allow
p226__p226_026_mic1,p226,VOiCES_devkit\source-16k\p226\p226_026_mic1.wav,0,1,train,-0.6619296,-0.07429263,not_allow
p226__p226_027_mic1,p226,VOiCES_devkit\source-16k\p226\p226_027_mic1.wav,0,2,train,-0.48451826,-0.0014381707,not_allow
p226__p226_028_mic1,p226,VOiCES_devkit\source-16k\p226\p226_028_mic1.wav,0,2,train,0.24297792,0.0123304725,not_allow
p226__p226_029_mic1,p226,VOiCES_devkit\source-16k\p226\p226_029_mic1.wav,0,2,train,-0.16268946,0.14348042,not_allow
p226__p226_030_mic1,p226,VOiCES_devkit\source-16k\p226\p226_030_mic1.wav,0,1,train,-0.62689984,0.015812278,not_allow
p226__p226_031_mic1,p226,VOiCES_devkit\source-16k\p226\p226_031_mic1.wav,0,1,train,0.3492957,-0.16088131,not_allow
p226__p226_032_mic1,p226,VOiCES_devkit\source-16k\p226\p226_032_mic1.wav,0,1,train,-0.43893945,-0.060666144,not_allow
p226__p226_033_mic1,p226,VOiCES_devkit\source-16k\p226\p226_033_mic1.wav,0,1,train,-0.26194388,0.40136737,not_allow
p226__p226_034_mic1,p226,VOiCES_devkit\source-16k\p226\p226_034_mic1.wav,0,2,train,-0.31704694,0.04605159,not_allow
p226__p226_036_mic1,p226,VOiCES_devkit\source-16k\p226\p226_036_mic1.wav,0,1,train,-0.032374956,0.38532495,not_allow
p226__p226_037_mic1,p226,VOiCES_devkit\source-16k\p226\p226_037_mic1.wav,0,1,train,0.0884811,0.39733917,not_allow
p226__p226_039_mic1,p226,VOiCES_devkit\source-16k\p226\p226_039_mic1.wav,0,1,train,-0.08116466,-0.2813698,not_allow
p226__p226_040_mic1,p226,VOiCES_devkit\source-16k\p226\p226_040_mic1.wav,0,1,train,-0.5981515,-0.18898338,not_allow
p226__p226_041_mic1,p226,VOiCES_devkit\source-16k\p226\p226_041_mic1.wav,0,1,train,0.0077958032,-0.02601114,not_allow
p226__p226_042_mic1,p226,VOiCES_devkit\source-16k\p226\p226_042_mic1.wav,0,2,train,0.00542208,-0.038151264,not_allow
p226__p226_043_mic1,p226,VOiCES_devkit\source-16k\p226\p226_043_mic1.wav,0,1,train,-0.1083962,0.12630796,not_allow
p226__p226_044_mic1,p226,VOiCES_devkit\source-16k\p226\p226_044_mic1.wav,0,1,train,-0.64872515,0.0021549761,not_allow
p226__p226_045_mic1,p226,VOiCES_devkit\source-16k\p226\p226_045_mic1.wav,0,1,train,0.5325989,-0.04393117,not_allow
p226__p226_046_mic1,p226,VOiCES_devkit\source-16k\p226\p226_046_mic1.wav,0,2,train,-0.102978185,0.011576682,not_allow
p226__p226_047_mic1,p226,VOiCES_devkit\source-16k\p226\p226_047_mic1.wav,0,1,train,-0.20313668,-0.3581044,not_allow
p226__p226_048_mic1,p226,VOiCES_devkit\source-16k\p226\p226_048_mic1.wav,0,1,train,-0.07456797,-0.40378714,not_allow
p226__p226_049_mic1,p226,VOiCES_devkit\source-16k\p226\p226_049_mic1.wav,0,1,train,-0.48318994,-0.20910813,not_allow
p226__p226_050_mic1,p226,VOiCES_devkit\source-16k\p226\p226_050_mic1.wav,0,2,train,-0.036348708,0.09055236,not_allow
p226__p226_051_mic1,p226,VOiCES_devkit\source-16k\p226\p226_051_mic1.wav,0,1,train,-0.48893744,0.1551817,not_allow
p226__p226_052_mic1,p226,VOiCES_devkit\source-16k\p226\p226_052_mic1.wav,0,1,train,-0.08492935,-0.28669578,not_allow
p226__p226_053_mic1,p226,VOiCES_devkit\source-16k\p226\p226_053_mic1.wav,0,1,train,0.49920762,-0.118469164,not_allow
p226__p226_054_mic1,p226,VOiCES_devkit\source-16k\p226\p226_054_mic1.wav,0,2,train,0.35640568,-0.022955537,not_allow
p226__p226_055_mic1,p226,VOiCES_devkit\source-16k\p226\p226_055_mic1.wav,0,2,train,-0.31005573,-0.01839897,not_allow
p226__p226_056_mic1,p226,VOiCES_devkit\source-16k\p226\p226_056_mic1.wav,0,1,train,0.37830392,0.051353335,not_allow
p226__p226_057_mic1,p226,VOiCES_devkit\source-16k\p226\p226_057_mic1.wav,0,1,train,-0.067789584,-0.29333067,not_allow
p226__p226_058_mic1,p226,VOiCES_devkit\source-16k\p226\p226_058_mic1.wav,0,1,train,-0.5147125,0.1231499,not_allow
p226__p226_059_mic1,p226,VOiCES_devkit\source-16k\p226\p226_059_mic1.wav,0,1,train,0.1756925,-0.46186653,not_allow
p226__p226_060_mic1,p226,VOiCES_devkit\source-16k\p226\p226_060_mic1.wav,0,1,train,-0.5633871,-0.15357347,not_allow
p226__p226_061_mic1,p226,VOiCES_devkit\source-16k\p226\p226_061_mic1.wav,0,2,train,-0.30417293,-0.021652937,not_allow
p226__p226_062_mic1,p226,VOiCES_devkit\source-16k\p226\p226_062_mic1.wav,0,1,train,-0.65371853,-0.025395066,not_allow
p226__p226_063_mic1,p226,VOiCES_devkit\source-16k\p226\p226_063_mic1.wav,0,1,train,-0.33324105,-0.02352035,not_allow
p226__p226_064_mic1,p226,VOiCES_devkit\source-16k\p226\p226_064_mic1.wav,0,1,train,-0.57691944,-0.0058760047,not_allow
p226__p226_065_mic1,p226,VOiCES_devkit\source-16k\p226\p226_065_mic1.wav,0,1,train,-0.5191962,0.047825694,not_allow
p226__p226_066_mic1,p226,VOiCES_devkit\source-16k\p226\p226_066_mic1.wav,0,1,train,-0.5148477,-0.23031813,not_allow
p226__p226_067_mic1,p226,VOiCES_devkit\source-16k\p226\p226_067_mic1.wav,0,1,train,-0.1860374,-0.20035133,not_allow
p226__p226_068_mic1,p226,VOiCES_devkit\source-16k\p226\p226_068_mic1.wav,0,1,train,-0.58054954,-0.12248361,not_allow
p226__p226_069_mic1,p226,VOiCES_devkit\source-16k\p226\p226_069_mic1.wav,0,1,train,0.19453077,0.020677745,not_allow
p226__p226_070_mic1,p226,VOiCES_devkit\source-16k\p226\p226_070_mic1.wav,0,2,train,-0.18023786,0.03658119,not_allow
p226__p226_071_mic1,p226,VOiCES_devkit\source-16k\p226\p226_071_mic1.wav,0,2,train,0.33287644,-0.11751202,not_allow
p226__p226_072_mic1,p226,VOiCES_devkit\source-16k\p226\p226_072_mic1.wav,0,2,train,0.2817812,-0.0940294,not_allow
p226__p226_073_mic1,p226,VOiCES_devkit\source-16k\p226\p226_073_mic1.wav,0,1,train,-0.65433323,-0.04516132,not_allow
p226__p226_074_mic1,p226,VOiCES_devkit\source-16k\p226\p226_074_mic1.wav,0,1,train,-0.25891224,-0.24065688,not_allow
p226__p226_075_mic1,p226,VOiCES_devkit\source-16k\p226\p226_075_mic1.wav,0,1,train,-0.6033112,-0.113611415,not_allow
p226__p226_076_mic1,p226,VOiCES_devkit\source-16k\p226\p226_076_mic1.wav,0,1,train,0.2739528,-0.22192284,not_allow
p226__p226_077_mic1,p226,VOiCES_devkit\source-16k\p226\p226_077_mic1.wav,0,1,train,-0.5850255,0.07258582,not_allow
p226__p226_078_mic1,p226,VOiCES_devkit\source-16k\p226\p226_078_mic1.wav,0,1,train,-0.5179394,-0.17263663,not_allow
p226__p226_079_mic1,p226,VOiCES_devkit\source-16k\p226\p226_079_mic1.wav,0,1,train,-0.1517107,-0.29873288,not_allow
p226__p226_080_mic1,p226,VOiCES_devkit\source-16k\p226\p226_080_mic1.wav,0,2,train,0.39779934,0.14678073,not_allow
p226__p226_082_mic1,p226,VOiCES_devkit\source-16k\p226\p226_082_mic1.wav,0,1,train,0.05066203,-0.29309705,not_allow
p226__p226_083_mic1,p226,VOiCES_devkit\source-16k\p226\p226_083_mic1.wav,0,1,train,-0.05862773,-0.31007668,not_allow
p226__p226_084_mic1,p226,VOiCES_devkit\source-16k\p226\p226_084_mic1.wav,0,2,train,-0.33145946,-0.07705575,not_allow
p226__p226_085_mic1,p226,VOiCES_devkit\source-16k\p226\p226_085_mic1.wav,0,1,train,-0.24342026,0.07019591,not_allow
p226__p226_086_mic1,p226,VOiCES_devkit\source-16k\p226\p226_086_mic1.wav,0,1,train,-0.6515101,-0.024659276,not_allow
p226__p226_088_mic1,p226,VOiCES_devkit\source-16k\p226\p226_088_mic1.wav,0,1,train,-0.04623245,0.1731632,not_allow
p226__p226_089_mic1,p226,VOiCES_devkit\source-16k\p226\p226_089_mic1.wav,0,1,train,-0.5537244,-0.043323353,not_allow
p226__p226_090_mic1,p226,VOiCES_devkit\source-16k\p226\p226_090_mic1.wav,0,1,train,0.4402683,0.03708765,not_allow
p226__p226_091_mic1,p226,VOiCES_devkit\source-16k\p226\p226_091_mic1.wav,0,1,train,-0.5692873,-0.042286813,not_allow
p226__p226_092_mic1,p226,VOiCES_devkit\source-16k\p226\p226_092_mic1.wav,0,1,train,0.084815815,-0.39839053,not_allow
p226__p226_093_mic1,p226,VOiCES_devkit\source-16k\p226\p226_093_mic1.wav,0,1,train,-0.6032768,-0.11494413,not_allow
p226__p226_094_mic1,p226,VOiCES_devkit\source-16k\p226\p226_094_mic1.wav,0,1,train,-0.38289514,0.28997034,not_allow
p226__p226_095_mic1,p226,VOiCES_devkit\source-16k\p226\p226_095_mic1.wav,0,1,train,0.11013202,0.12994581,not_allow
p226__p226_096_mic1,p226,VOiCES_devkit\source-16k\p226\p226_096_mic1.wav,0,1,train,0.19096704,0.033430874,not_allow
p226__p226_097_mic1,p226,VOiCES_devkit\source-16k\p226\p226_097_mic1.wav,0,1,train,0.56623334,-0.23558907,not_allow
p226__p226_098_mic1,p226,VOiCES_devkit\source-16k\p226\p226_098_mic1.wav,0,1,train,-0.66370076,-0.09178808,not_allow
p226__p226_099_mic1,p226,VOiCES_devkit\source-16k\p226\p226_099_mic1.wav,0,2,train,-0.012355737,0.040739357,not_allow
p226__p226_100_mic1,p226,VOiCES_devkit\source-16k\p226\p226_100_mic1.wav,0,1,train,-0.37875727,0.23459733,not_allow
p226__p226_101_mic1,p226,VOiCES_devkit\source-16k\p226\p226_101_mic1.wav,0,1,train,-0.65782654,-0.06793301,not_allow
p226__p226_102_mic1,p226,VOiCES_devkit\source-16k\p226\p226_102_mic1.wav,0,1,train,-0.1676988,0.3296885,not_allow
p226__p226_103_mic1,p226,VOiCES_devkit\source-16k\p226\p226_103_mic1.wav,0,1,train,0.04844956,-0.0824835,not_allow
p226__p226_104_mic1,p226,VOiCES_devkit\source-16k\p226\p226_104_mic1.wav,0,2,train,-0.062372472,0.04002127,not_allow
p226__p226_105_mic1,p226,VOiCES_devkit\source-16k\p226\p226_105_mic1.wav,0,1,train,0.29024947,-0.17994022,not_allow
p226__p226_106_mic1,p226,VOiCES_devkit\source-16k\p226\p226_106_mic1.wav,0,1,train,0.31246507,0.29993194,not_allow
p226__p226_107_mic1,p226,VOiCES_devkit\source-16k\p226\p226_107_mic1.wav,0,1,train,-0.517692,-0.17829067,not_allow
p226__p226_108_mic1,p226,VOiCES_devkit\source-16k\p226\p226_108_mic1.wav,0,1,train,0.3297504,0.030931026,not_allow
p226__p226_109_mic1,p226,VOiCES_devkit\source-16k\p226\p226_109_mic1.wav,0,1,train,-0.5675559,0.0817146,not_allow
p226__p226_110_mic1,p226,VOiCES_devkit\source-16k\p226\p226_110_mic1.wav,0,1,train,-0.45346516,-0.010220259,not_allow
p226__p226_111_mic1,p226,VOiCES_devkit\source-16k\p226\p226_111_mic1.wav,0,1,train,-0.38530064,-0.2598335,not_allow
p226__p226_112_mic1,p226,VOiCES_devkit\source-16k\p226\p226_112_mic1.wav,0,1,train,0.061971966,0.3400374,not_allow
p226__p226_113_mic1,p226,VOiCES_devkit\source-16k\p226\p226_113_mic1.wav,0,1,train,0.5313846,0.2206698,not_allow
p226__p226_114_mic1,p226,VOiCES_devkit\source-16k\p226\p226_114_mic1.wav,0,1,train,0.5111361,0.041990846,not_allow
p226__p226_115_mic1,p226,VOiCES_devkit\source-16k\p226\p226_115_mic1.wav,0,1,train,-0.6397808,0.015751958,not_allow
p226__p226_116_mic1,p226,VOiCES_devkit\source-16k\p226\p226_116_mic1.wav,0,1,train,-0.3790388,-0.13103479,not_allow
p226__p226_117_mic1,p226,VOiCES_devkit\source-16k\p226\p226_117_mic1.wav,0,1,train,-0.20104882,-0.08284357,not_allow
p226__p226_118_mic1,p226,VOiCES_devkit\source-16k\p226\p226_118_mic1.wav,0,2,train,-0.51641184,-0.04482749,not_allow
p226__p226_119_mic1,p226,VOiCES_devkit\source-16k\p226\p226_119_mic1.wav,0,1,train,0.13733836,0.15902066,not_allow
p226__p226_120_mic1,p226,VOiCES_devkit\source-16k\p226\p226_120_mic1.wav,0,2,train,0.07150008,-0.062177166,not_allow
p226__p226_121_mic1,p226,VOiCES_devkit\source-16k\p226\p226_121_mic1.wav,0,1,train,-0.62858766,-0.082181856,not_allow
p226__p226_122_mic1,p226,VOiCES_devkit\source-16k\p226\p226_122_mic1.wav,0,2,train,0.6506495,-0.06765987,not_allow
p226__p226_124_mic1,p226,VOiCES_devkit\source-16k\p226\p226_124_mic1.wav,0,2,train,0.05129076,0.14826918,not_allow
p226__p226_125_mic1,p226,VOiCES_devkit\source-16k\p226\p226_125_mic1.wav,0,1,train,0.042659577,-0.24993043,not_allow
p226__p226_126_mic1,p226,VOiCES_devkit\source-16k\p226\p226_126_mic1.wav,0,1,train,-0.5496304,0.03247559,not_allow
p226__p226_127_mic1,p226,VOiCES_devkit\source-16k\p226\p226_127_mic1.wav,0,2,train,0.43537837,-0.021697342,not_allow
p226__p226_128_mic1,p226,VOiCES_devkit\source-16k\p226\p226_128_mic1.wav,0,1,train,-0.32827818,0.17147672,not_allow
p226__p226_129_mic1,p226,VOiCES_devkit\source-16k\p226\p226_129_mic1.wav,0,1,train,-0.5171767,-0.18556857,not_allow
p226__p226_130_mic1,p226,VOiCES_devkit\source-16k\p226\p226_130_mic1.wav,0,1,train,0.10639314,-0.08920954,not_allow
p226__p226_131_mic1,p226,VOiCES_devkit\source-16k\p226\p226_131_mic1.wav,0,1,train,0.5419435,-0.29126313,not_allow
p226__p226_132_mic1,p226,VOiCES_devkit\source-16k\p226\p226_132_mic1.wav,0,1,train,0.6688469,-0.016015053,not_allow
p226__p226_133_mic1,p226,VOiCES_devkit\source-16k\p226\p226_133_mic1.wav,0,1,train,0.071131125,0.0525665,not_allow
p226__p226_134_mic1,p226,VOiCES_devkit\source-16k\p226\p226_134_mic1.wav,0,1,train,-0.44783363,0.23661149,not_allow
p226__p226_135_mic1,p226,VOiCES_devkit\source-16k\p226\p226_135_mic1.wav,0,1,train,-0.1622598,0.2622124,not_allow
p226__p226_136_mic1,p226,VOiCES_devkit\source-16k\p226\p226_136_mic1.wav,0,2,train,-0.4582876,0.045865655,not_allow
p226__p226_137_mic1,p226,VOiCES_devkit\source-16k\p226\p226_137_mic1.wav,0,1,train,-0.38918576,-0.17536613,not_allow
p226__p226_138_mic1,p226,VOiCES_devkit\source-16k\p226\p226_138_mic1.wav,0,1,train,0.22650792,0.14564681,not_allow
p226__p226_139_mic1,p226,VOiCES_devkit\source-16k\p226\p226_139_mic1.wav,0,1,train,-0.40823573,0.16920069,not_allow
p226__p226_140_mic1,p226,VOiCES_devkit\source-16k\p226\p226_140_mic1.wav,0,1,train,0.42937568,-0.058870733,not_allow
p226__p226_141_mic1,p226,VOiCES_devkit\source-16k\p226\p226_141_mic1.wav,0,1,train,0.123445794,0.3859064,not_allow
p226__p226_142_mic1,p226,VOiCES_devkit\source-16k\p226\p226_142_mic1.wav,0,1,train,-0.5717193,-0.060226426,not_allow
p226__p226_143_mic1,p226,VOiCES_devkit\source-16k\p226\p226_143_mic1.wav,0,2,train,-0.40163338,-0.04300776,not_allow
p226__p226_144_mic1,p226,VOiCES_devkit\source-16k\p226\p226_144_mic1.wav,0,1,train,0.38783398,0.33442217,not_allow
p226__p226_145_mic1,p226,VOiCES_devkit\source-16k\p226\p226_145_mic1.wav,0,2,train,0.140587,-0.018717408,not_allow
p226__p226_146_mic1,p226,VOiCES_devkit\source-16k\p226\p226_146_mic1.wav,0,2,train,-0.42319182,0.032777518,not_allow
p226__p226_148_mic1,p226,VOiCES_devkit\source-16k\p226\p226_148_mic1.wav,0,1,train,0.20765324,-0.080026805,not_allow
p226__p226_149_mic1,p226,VOiCES_devkit\source-16k\p226\p226_149_mic1.wav,0,1,train,0.17916834,0.3024953,not_allow
p226__p226_150_mic1,p226,VOiCES_devkit\source-16k\p226\p226_150_mic1.wav,0,1,train,0.03969605,-0.20566183,not_allow
p226__p226_151_mic1,p226,VOiCES_devkit\source-16k\p226\p226_151_mic1.wav,0,1,train,0.14884354,-0.005230278,not_allow
p226__p226_152_mic1,p226,VOiCES_devkit\source-16k\p226\p226_152_mic1.wav,0,1,train,0.3210125,0.2650017,not_allow
p226__p226_153_mic1,p226,VOiCES_devkit\source-16k\p226\p226_153_mic1.wav,0,1,train,-0.19259997,0.10828474,not_allow
p226__p226_154_mic1,p226,VOiCES_devkit\source-16k\p226\p226_154_mic1.wav,0,2,train,-0.021337776,0.052256256,not_allow
p226__p226_155_mic1,p226,VOiCES_devkit\source-16k\p226\p226_155_mic1.wav,0,1,train,-0.5548118,0.06626338,not_allow
p226__p226_156_mic1,p226,VOiCES_devkit\source-16k\p226\p226_156_mic1.wav,0,2,train,-0.373572,-0.0042558312,not_allow
p226__p226_157_mic1,p226,VOiCES_devkit\source-16k\p226\p226_157_mic1.wav,0,1,train,-0.3193499,0.30839264,not_allow
p226__p226_158_mic1,p226,VOiCES_devkit\source-16k\p226\p226_158_mic1.wav,0,1,train,-0.58882535,-0.12638234,not_allow
p226__p226_159_mic1,p226,VOiCES_devkit\source-16k\p226\p226_159_mic1.wav,0,1,train,-0.64924675,-0.0011365712,not_allow
p226__p226_160_mic1,p226,VOiCES_devkit\source-16k\p226\p226_160_mic1.wav,0,1,train,-0.5637718,-0.114505395,not_allow
p226__p226_161_mic1,p226,VOiCES_devkit\source-16k\p226\p226_161_mic1.wav,0,1,train,-0.52968055,-0.06782684,not_allow
p226__p226_162_mic1,p226,VOiCES_devkit\source-16k\p226\p226_162_mic1.wav,0,1,train,-0.6233969,0.0051320195,not_allow
p226__p226_163_mic1,p226,VOiCES_devkit\source-16k\p226\p226_163_mic1.wav,0,1,train,-0.66064376,-0.052696675,not_allow
p226__p226_164_mic1,p226,VOiCES_devkit\source-16k\p226\p226_164_mic1.wav,0,1,train,-0.2370911,0.33097494,not_allow
p226__p226_165_mic1,p226,VOiCES_devkit\source-16k\p226\p226_165_mic1.wav,0,1,train,-0.4674078,0.13315111,not_allow
p226__p226_166_mic1,p226,VOiCES_devkit\source-16k\p226\p226_166_mic1.wav,0,2,train,-0.2963178,-0.07624912,not_allow
p226__p226_167_mic1,p226,VOiCES_devkit\source-16k\p226\p226_167_mic1.wav,0,1,train,-0.6124527,-0.039679676,not_allow
p226__p226_168_mic1,p226,VOiCES_devkit\source-16k\p226\p226_168_mic1.wav,0,1,train,0.2987921,-0.16110155,not_allow
p226__p226_169_mic1,p226,VOiCES_devkit\source-16k\p226\p226_169_mic1.wav,0,1,train,0.47006541,-0.047123387,not_allow
p226__p226_171_mic1,p226,VOiCES_devkit\source-16k\p226\p226_171_mic1.wav,0,1,train,-0.62195426,0.067083746,not_allow
p226__p226_172_mic1,p226,VOiCES_devkit\source-16k\p226\p226_172_mic1.wav,0,1,train,-0.6134673,-0.1393279,not_allow
p226__p226_173_mic1,p226,VOiCES_devkit\source-16k\p226\p226_173_mic1.wav,0,1,train,-0.3034293,0.19770631,not_allow
p226__p226_174_mic1,p226,VOiCES_devkit\source-16k\p226\p226_174_mic1.wav,0,1,train,0.2859729,-0.34592047,not_allow
p226__p226_175_mic1,p226,VOiCES_devkit\source-16k\p226\p226_175_mic1.wav,0,2,train,-0.3852143,0.08860165,not_allow
p226__p226_176_mic1,p226,VOiCES_devkit\source-16k\p226\p226_176_mic1.wav,0,1,train,0.44005826,0.09027448,not_allow
p226__p226_177_mic1,p226,VOiCES_devkit\source-16k\p226\p226_177_mic1.wav,0,1,train,-0.20858686,-0.33146995,not_allow
p226__p226_178_mic1,p226,VOiCES_devkit\source-16k\p226\p226_178_mic1.wav,0,1,train,-0.25120667,0.27477545,not_allow
p226__p226_179_mic1,p226,VOiCES_devkit\source-16k\p226\p226_179_mic1.wav,0,1,train,-0.2298926,0.3761205,not_allow
p226__p226_180_mic1,p226,VOiCES_devkit\source-16k\p226\p226_180_mic1.wav,0,1,train,-0.1491905,0.37898767,not_allow
p226__p226_181_mic1,p226,VOiCES_devkit\source-16k\p226\p226_181_mic1.wav,0,1,train,0.38087207,-0.280851,not_allow
p226__p226_183_mic1,p226,VOiCES_devkit\source-16k\p226\p226_183_mic1.wav,0,1,train,0.4377482,0.009550154,not_allow
p226__p226_184_mic1,p226,VOiCES_devkit\source-16k\p226\p226_184_mic1.wav,0,1,train,0.2909833,0.23686874,not_allow
p226__p226_185_mic1,p226,VOiCES_devkit\source-16k\p226\p226_185_mic1.wav,0,1,train,-0.6606434,-0.07969704,not_allow
p226__p226_186_mic1,p226,VOiCES_devkit\source-16k\p226\p226_186_mic1.wav,0,1,train,-0.53811735,-0.040471643,not_allow
p226__p226_187_mic1,p226,VOiCES_devkit\source-16k\p226\p226_187_mic1.wav,0,1,train,0.33710343,-0.27582255,not_allow
p226__p226_188_mic1,p226,VOiCES_devkit\source-16k\p226\p226_188_mic1.wav,0,2,train,-0.46420497,0.006424308,not_allow
p229__p229_001_mic1,p229,VOiCES_devkit\source-16k\p229\p229_001_mic1.wav,0,1,train,-0.5867082,-0.02541539,not_allow
p229__p229_002_mic1,p229,VOiCES_devkit\source-16k\p229\p229_002_mic1.wav,0,1,train,-0.63545203,0.044751048,not_allow
p229__p229_003_mic1,p229,VOiCES_devkit\source-16k\p229\p229_003_mic1.wav,0,2,train,-0.64894634,0.0060699284,not_allow
p229__p229_004_mic1,p229,VOiCES_devkit\source-16k\p229\p229_004_mic1.wav,0,2,train,-0.6056257,-0.07740064,not_allow
p229__p229_005_mic1,p229,VOiCES_devkit\source-16k\p229\p229_005_mic1.wav,0,2,train,-0.5426604,0.13850552,not_allow
p229__p229_006_mic1,p229,VOiCES_devkit\source-16k\p229\p229_006_mic1.wav,0,2,train,-0.38334915,0.2444039,not_allow
p229__p229_007_mic1,p229,VOiCES_devkit\source-16k\p229\p229_007_mic1.wav,0,2,train,-0.33195436,-0.03618154,not_allow
p229__p229_008_mic1,p229,VOiCES_devkit\source-16k\p229\p229_008_mic1.wav,0,2,train,-0.30012858,0.336469,not_allow
p229__p229_009_mic1,p229,VOiCES_devkit\source-16k\p229\p229_009_mic1.wav,0,2,train,-0.57991445,0.011756152,not_allow
p229__p229_010_mic1,p229,VOiCES_devkit\source-16k\p229\p229_010_mic1.wav,0,1,train,-0.5279546,0.15173706,not_allow
p229__p229_011_mic1,p229,VOiCES_devkit\source-16k\p229\p229_011_mic1.wav,0,2,train,-0.27998388,0.27755696,not_allow
p229__p229_012_mic1,p229,VOiCES_devkit\source-16k\p229\p229_012_mic1.wav,0,2,train,-0.36920154,0.1296947,not_allow
p229__p229_013_mic1,p229,VOiCES_devkit\source-16k\p229\p229_013_mic1.wav,0,2,train,-0.5481847,-0.106264055,not_allow
p229__p229_014_mic1,p229,VOiCES_devkit\source-16k\p229\p229_014_mic1.wav,0,2,train,-0.35922584,0.08855367,not_allow
p229__p229_015_mic1,p229,VOiCES_devkit\source-16k\p229\p229_015_mic1.wav,0,2,train,-0.58080876,0.10967854,not_allow
p229__p229_016_mic1,p229,VOiCES_devkit\source-16k\p229\p229_016_mic1.wav,0,2,train,-0.589198,0.084989786,not_allow
p229__p229_017_mic1,p229,VOiCES_devkit\source-16k\p229\p229_017_mic1.wav,0,1,train,-0.55652195,0.16859213,not_allow
p229__p229_018_mic1,p229,VOiCES_devkit\source-16k\p229\p229_018_mic1.wav,0,2,train,-0.54510105,0.15001014,not_allow
p229__p229_019_mic1,p229,VOiCES_devkit\source-16k\p229\p229_019_mic1.wav,0,3,train,-0.59415555,0.079227835,not_allow
p229__p229_020_mic1,p229,VOiCES_devkit\source-16k\p229\p229_020_mic1.wav,0,2,train,-0.5201035,0.0102829635,not_allow
