mode,split,recording_id,speaker,class_name,score,threshold,signed_margin,predicted_label
prototype,train,p226__p226_046_mic1,p226,not_allow,0.824205756187439,0.86,-0.03579424381256102,0
prototype,test,sp7000__Lab41-SRI-VOiCES-src-sp7000-ch083706-sg0005,sp7000,not_allow,0.8234598636627197,0.86,-0.03654013633728026,0
prototype,train,sp4957__Lab41-SRI-VOiCES-src-sp4957-ch030119-sg0028,sp4957,not_allow,0.8233620524406433,0.86,-0.036637947559356676,0
binary,valid,sp2764__Lab41-SRI-VOiCES-src-sp2764-ch036616-sg0012,sp2764,not_allow,0.5329295421640078,0.5700000000000001,-0.037070457835992277,0
prototype,train,p226__p226_079_mic1,p226,not_allow,0.8206953406333923,0.86,-0.03930465936660765,0
prototype,test,p231__p231_026_mic1,p231,allow,0.9000551700592041,0.86,0.040055170059204115,1
binary,train,p230__p230_050_mic1,p230,not_allow,0.5299375206232071,0.5700000000000001,-0.04006247937679297,0
binary,train,p226__p226_050_mic1,p226,not_allow,0.529820442199707,0.5700000000000001,-0.04017955780029303,0
prototype,test,sp0198__Lab41-SRI-VOiCES-src-sp0198-ch129977-sg0011,sp0198,not_allow,0.8196828365325928,0.86,-0.04031716346740721,0
prototype,train,p226__p226_070_mic1,p226,not_allow,0.8196018934249878,0.86,-0.040398106575012194,0
binary,train,sp1050__Lab41-SRI-VOiCES-src-sp1050-ch134120-sg0040,sp1050,not_allow,0.5264973392089208,0.5700000000000001,-0.04350266079107923,0
prototype,train,p228__p228_051_mic1,p228,allow,0.903902530670166,0.86,0.04390253067016603,1
binary,train,sp8225__Lab41-SRI-VOiCES-src-sp8225-ch274375-sg0038,sp8225,not_allow,0.5257480144500732,0.5700000000000001,-0.04425198554992682,0
binary,train,p226__p226_020_mic1,p226,not_allow,0.5252392143011093,0.5700000000000001,-0.04476078569889075,0
prototype,train,sp1335__Lab41-SRI-VOiCES-src-sp1335-ch163935-sg0018,sp1335,not_allow,0.8152222037315369,0.86,-0.04477779626846312,0
prototype,train,sp1050__Lab41-SRI-VOiCES-src-sp1050-ch134120-sg0040,sp1050,not_allow,0.815062940120697,0.86,-0.044937059879302965,0
binary,valid,p232__p232_025_mic1,p232,allow,0.6153111457824707,0.5700000000000001,0.04531114578247064,1
binary,train,p230__p230_032_mic1,p230,not_allow,0.5241273045539856,0.5700000000000001,-0.045872695446014466,0
prototype,train,sp1607__Lab41-SRI-VOiCES-src-sp1607-ch149245-sg0016,sp1607,not_allow,0.810662567615509,0.86,-0.049337432384490953,0
prototype,train,p226__p226_014_mic1,p226,not_allow,0.8104822635650635,0.86,-0.04951773643493651,0
binary,train,p226__p226_029_mic1,p226,not_allow,0.5198735594749451,0.5700000000000001,-0.050126440525054994,0
binary,train,p226__p226_025_mic1,p226,not_allow,0.5198226571083069,0.5700000000000001,-0.05017734289169318,0
prototype,train,p232__p232_051_mic1,p232,allow,0.9102403521537781,0.86,0.05024035215377809,1
prototype,train,p225__p225_334_mic1,p225,allow,0.9130882620811462,0.86,0.053088262081146254,1
prototype,train,p226__p226_180_mic1,p226,not_allow,0.8062906265258789,0.86,-0.05370937347412108,0
prototype,train,p230__p230_050_mic1,p230,not_allow,0.8060898780822754,0.86,-0.053910121917724596,0
prototype,test,sp6241__Lab41-SRI-VOiCES-src-sp6241-ch066616-sg0012,sp6241,not_allow,0.8044929504394531,0.86,-0.05550704956054686,0
prototype,train,p226__p226_088_mic1,p226,not_allow,0.8044044971466064,0.86,-0.05559550285339354,0
binary,valid,p227__p227_003_mic1,p227,allow,0.6259261022011439,0.5700000000000001,0.0559261022011438,1
prototype,train,p225__p225_325_mic1,p225,allow,0.9160575270652771,0.86,0.05605752706527711,1
prototype,train,p225__p225_242_mic1,p225,allow,0.9161086678504944,0.86,0.0561086678504944,1
prototype,valid,p228__p228_010_mic1,p228,allow,0.916598916053772,0.86,0.056598916053771986,1
prototype,valid,p227__p227_030_mic1,p227,allow,0.9173415899276733,0.86,0.05734158992767335,1
binary,test,sp0198__Lab41-SRI-VOiCES-src-sp0198-ch129977-sg0011,sp0198,not_allow,0.511394314467907,0.5700000000000001,-0.05860568553209311,0
prototype,train,p225__p225_354_mic1,p225,allow,0.9192083477973938,0.86,0.05920834779739381,1
prototype,train,sp5319__Lab41-SRI-VOiCES-src-sp5319-ch064075-sg0018,sp5319,not_allow,0.8004201650619507,0.86,-0.0595798349380493,0
prototype,test,sp2952__Lab41-SRI-VOiCES-src-sp2952-ch000407-sg0000,sp2952,not_allow,0.799383819103241,0.86,-0.06061618089675902,0
prototype,valid,sp5139__Lab41-SRI-VOiCES-src-sp5139-ch061422-sg0023,sp5139,not_allow,0.7980912923812866,0.86,-0.061908707618713366,0
prototype,train,p226__p226_007_mic1,p226,not_allow,0.7975696921348572,0.86,-0.06243030786514281,0
prototype,valid,p232__p232_025_mic1,p232,allow,0.9241213798522949,0.86,0.06412137985229494,1
prototype,train,p228__p228_020_mic1,p228,allow,0.9241465330123901,0.86,0.06414653301239015,1
prototype,test,sp1061__Lab41-SRI-VOiCES-src-sp1061-ch142358-sg0049,sp1061,not_allow,0.795361340045929,0.86,-0.06463865995407103,0
binary,train,p226__p226_046_mic1,p226,not_allow,0.5052642524242401,0.5700000000000001,-0.06473574757575995,0
binary,train,p226__p226_043_mic1,p226,not_allow,0.5052415728569031,0.5700000000000001,-0.06475842714309699,0
prototype,valid,p231__p231_020_mic1,p231,allow,0.9250444173812866,0.86,0.06504441738128663,1
prototype,train,p228__p228_060_mic1,p228,allow,0.9254602789878845,0.86,0.06546027898788453,1
prototype,test,p227__p227_023_mic1,p227,allow,0.9263544082641602,0.86,0.06635440826416017,1
binary,train,p226__p226_177_mic1,p226,not_allow,0.5027438402175903,0.5700000000000001,-0.06725615978240973,0
prototype,train,p227__p227_072_mic1,p227,allow,0.9273093938827515,0.86,0.06730939388275148,1
prototype,train,p232__p232_007_mic1,p232,allow,0.9274988174438477,0.86,0.06749881744384767,1
prototype,train,sp1025__Lab41-SRI-VOiCES-src-sp1025-ch092814-sg0002,sp1025,not_allow,0.7916059494018555,0.86,-0.06839405059814452,0
binary,train,p230__p230_002_mic1,p230,not_allow,0.5007217973470688,0.5700000000000001,-0.06927820265293128,0
prototype,train,p225__p225_322_mic1,p225,allow,0.9295241832733154,0.86,0.06952418327331544,1
prototype,train,p226__p226_052_mic1,p226,not_allow,0.7904238700866699,0.86,-0.06957612991333006,0
prototype,train,p230__p230_006_mic1,p230,not_allow,0.7903943657875061,0.86,-0.06960563421249388,0
prototype,train,p226__p226_154_mic1,p226,not_allow,0.7903187870979309,0.86,-0.06968121290206908,0
binary,train,p226__p226_067_mic1,p226,not_allow,0.500052809715271,0.5700000000000001,-0.06994719028472907,0
binary,train,p230__p230_009_mic1,p230,not_allow,0.4992256313562393,0.5700000000000001,-0.07077436864376074,0
binary,train,p226__p226_047_mic1,p226,not_allow,0.4987506568431854,0.5700000000000001,-0.07124934315681464,0
prototype,test,p231__p231_062_mic1,p231,allow,0.9323524236679077,0.86,0.07235242366790773,1
prototype,train,p228__p228_044_mic1,p228,allow,0.9326091408729553,0.86,0.07260914087295534,1
prototype,test,p232__p232_044_mic1,p232,allow,0.932612419128418,0.86,0.07261241912841798,1
binary,train,p226__p226_019_mic1,p226,not_allow,0.4964318225781123,0.5700000000000001,-0.07356817742188776,0
prototype,train,p226__p226_042_mic1,p226,not_allow,0.785582959651947,0.86,-0.07441704034805297,0
binary,train,p225__p225_318_mic1,p225,allow,0.6446568071842194,0.5700000000000001,0.0746568071842193,1
prototype,test,p232__p232_020_mic1,p232,allow,0.9351053237915039,0.86,0.07510532379150392,1
prototype,train,p226__p226_039_mic1,p226,not_allow,0.7841531038284302,0.86,-0.07584689617156981,0
binary,train,p230__p230_016_mic1,p230,not_allow,0.4940287098288536,0.5700000000000001,-0.07597129017114645,0
prototype,valid,p231__p231_065_mic1,p231,allow,0.936173141002655,0.86,0.07617314100265504,1
binary,train,sp1607__Lab41-SRI-VOiCES-src-sp1607-ch149245-sg0016,sp1607,not_allow,0.49269685552765924,0.5700000000000001,-0.07730314447234082,0
prototype,train,p225__p225_293_mic1,p225,allow,0.9394906163215637,0.86,0.07949061632156373,1
prototype,train,p228__p228_045_mic1,p228,allow,0.9396570920944214,0.86,0.0796570920944214,1
prototype,test,p225__p225_355_mic1,p225,allow,0.940326988697052,0.86,0.08032698869705202,1
binary,train,sp4957__Lab41-SRI-VOiCES-src-sp4957-ch030119-sg0028,sp4957,not_allow,0.4857344329357147,0.5700000000000001,-0.08426556706428534,0
binary,train,p226__p226_099_mic1,p226,not_allow,0.48561792075634,0.5700000000000001,-0.08438207924366004,0
binary,test,p232__p232_005_mic1,p232,allow,0.6549334526062012,0.5700000000000001,0.08493345260620111,1
prototype,train,p225__p225_224_mic1,p225,allow,0.9450191855430603,0.86,0.08501918554306032,1
binary,train,p227__p227_078_mic1,p227,allow,0.6551852971315384,0.5700000000000001,0.08518529713153833,1
prototype,test,p232__p232_013_mic1,p232,allow,0.9458330869674683,0.86,0.08583308696746828,1
prototype,train,p226__p226_041_mic1,p226,not_allow,0.7741139531135559,0.86,-0.08588604688644408,0
prototype,train,p226__p226_057_mic1,p226,not_allow,0.7737975120544434,0.86,-0.08620248794555663,0
prototype,train,sp3546__Lab41-SRI-VOiCES-src-sp3546-ch175390-sg0022,sp3546,not_allow,0.7718462944030762,0.86,-0.08815370559692381,0
binary,train,p230__p230_006_mic1,p230,not_allow,0.4817701689898968,0.5700000000000001,-0.08822983101010329,0
prototype,train,p226__p226_083_mic1,p226,not_allow,0.7713905572891235,0.86,-0.08860944271087645,0
binary,test,sp6241__Lab41-SRI-VOiCES-src-sp6241-ch066616-sg0012,sp6241,not_allow,0.4791188994422555,0.5700000000000001,-0.09088110055774457,0
binary,valid,p227__p227_024_mic1,p227,allow,0.6612607836723328,0.5700000000000001,0.0912607836723327,1
prototype,train,p226__p226_099_mic1,p226,not_allow,0.7671244740486145,0.86,-0.09287552595138548,0
prototype,train,p230__p230_042_mic1,p230,not_allow,0.7668690085411072,0.86,-0.09313099145889281,0
prototype,train,p227__p227_059_mic1,p227,allow,0.9532591700553894,0.86,0.09325917005538942,1
prototype,valid,p225__p225_268_mic1,p225,allow,0.9534549117088318,0.86,0.0934549117088318,1
prototype,train,p227__p227_052_mic1,p227,allow,0.9540149569511414,0.86,0.09401495695114137,1
prototype,train,p232__p232_046_mic1,p232,allow,0.9541435241699219,0.86,0.09414352416992189,1
binary,test,p227__p227_023_mic1,p227,allow,0.6641749367117882,0.5700000000000001,0.09417493671178812,1
binary,valid,p227__p227_022_mic1,p227,allow,0.6643714507420858,0.5700000000000001,0.09437145074208575,1
prototype,train,sp4441__Lab41-SRI-VOiCES-src-sp4441-ch076262-sg0010,sp4441,not_allow,0.7648685574531555,0.86,-0.09513144254684447,0
binary,train,p226__p226_154_mic1,p226,not_allow,0.47424088418483734,0.5700000000000001,-0.09575911581516272,0
prototype,valid,p227__p227_019_mic1,p227,allow,0.9560167193412781,0.86,0.09601671934127809,1
prototype,valid,p232__p232_035_mic1,p232,allow,0.9563424587249756,0.86,0.0963424587249756,1
binary,train,p226__p226_010_mic1,p226,not_allow,0.4731141924858093,0.5700000000000001,-0.09688580751419074,0
prototype,test,p227__p227_057_mic1,p227,allow,0.9572159051895142,0.86,0.09721590518951417,1
prototype,valid,p228__p228_022_mic1,p228,allow,0.9577252268791199,0.86,0.09772522687911989,1
prototype,valid,sp1212__Lab41-SRI-VOiCES-src-sp1212-ch014653-sg0003,sp1212,not_allow,0.7616932392120361,0.86,-0.09830676078796385,0
prototype,valid,p228__p228_065_mic1,p228,allow,0.9593872427940369,0.86,0.09938724279403688,1
prototype,train,p227__p227_061_mic1,p227,allow,0.959473729133606,0.86,0.09947372913360597,1
binary,train,p232__p232_051_mic1,p232,allow,0.6706693768501282,0.5700000000000001,0.10066937685012811,1
prototype,test,p232__p232_026_mic1,p232,allow,0.960803747177124,0.86,0.10080374717712404,1
binary,train,p226__p226_079_mic1,p226,not_allow,0.4690660238265991,0.5700000000000001,-0.10093397617340094,0
prototype,train,p226__p226_023_mic1,p226,not_allow,0.758713960647583,0.86,-0.10128603935241698,0
binary,test,p232__p232_027_mic1,p232,allow,0.6714341044425964,0.5700000000000001,0.10143410444259637,1
prototype,valid,p227__p227_024_mic1,p227,allow,0.9615249633789062,0.86,0.10152496337890626,1
binary,valid,p231__p231_012_mic1,p231,allow,0.6732077598571777,0.5700000000000001,0.10320775985717767,1
prototype,train,p225__p225_253_mic1,p225,allow,0.9632184505462646,0.86,0.10321845054626466,1
prototype,test,p225__p225_177_mic1,p225,allow,0.9633532762527466,0.86,0.1033532762527466,1
binary,train,p226__p226_036_mic1,p226,not_allow,0.4663905203342438,0.5700000000000001,-0.10360947966575629,0
prototype,train,p226__p226_050_mic1,p226,not_allow,0.7548911571502686,0.86,-0.10510884284973143,0
binary,test,p231__p231_062_mic1,p231,allow,0.6751571893692017,0.5700000000000001,0.1051571893692016,1
prototype,valid,p231__p231_067_mic1,p231,allow,0.9652453660964966,0.86,0.1052453660964966,1
prototype,valid,p225__p225_277_mic1,p225,allow,0.9652898907661438,0.86,0.10528989076614381,1
binary,valid,p228__p228_010_mic1,p228,allow,0.6755402088165283,0.5700000000000001,0.10554020881652826,1
binary,train,sp1025__Lab41-SRI-VOiCES-src-sp1025-ch092814-sg0002,sp1025,not_allow,0.46443212529023487,0.5700000000000001,-0.1055678747097652,0
prototype,train,p225__p225_179_mic1,p225,allow,0.9656466245651245,0.86,0.10564662456512453,1
binary,train,p230__p230_042_mic1,p230,not_allow,0.4640609920024872,0.5700000000000001,-0.10593900799751288,0
prototype,train,p230__p230_012_mic1,p230,not_allow,0.7530134320259094,0.86,-0.10698656797409056,0
prototype,test,sp0154__Lab41-SRI-VOiCES-src-sp0154-ch123998-sg0018,sp0154,not_allow,0.7526658773422241,0.86,-0.10733412265777587,0
prototype,train,p226__p226_103_mic1,p226,not_allow,0.7526265382766724,0.86,-0.10737346172332762,0
prototype,train,p232__p232_045_mic1,p232,allow,0.9678093194961548,0.86,0.1078093194961548,1
prototype,train,p228__p228_024_mic1,p228,allow,0.9678677320480347,0.86,0.10786773204803468,1
binary,train,p226__p226_014_mic1,p226,not_allow,0.4615391492843628,0.5700000000000001,-0.10846085071563727,0
prototype,train,p232__p232_033_mic1,p232,allow,0.9688423871994019,0.86,0.10884238719940187,1
binary,valid,sp5386__Lab41-SRI-VOiCES-src-sp5386-ch004145-sg0009,sp5386,not_allow,0.460107942422231,0.5700000000000001,-0.10989205757776904,0
prototype,valid,p227__p227_022_mic1,p227,allow,0.9700255393981934,0.86,0.11002553939819337,1
prototype,test,p232__p232_039_mic1,p232,allow,0.9701370000839233,0.86,0.11013700008392335,1
prototype,train,p226__p226_048_mic1,p226,not_allow,0.7484607696533203,0.86,-0.11153923034667967,0
binary,train,p226__p226_023_mic1,p226,not_allow,0.4582933783531189,0.5700000000000001,-0.11170662164688117,0
prototype,train,p232__p232_037_mic1,p232,allow,0.9719449281692505,0.86,0.1119449281692505,1
prototype,train,sp3214__Lab41-SRI-VOiCES-src-sp3214-ch167607-sg0001,sp3214,not_allow,0.7479391694068909,0.86,-0.11206083059310912,0
prototype,valid,p232__p232_004_mic1,p232,allow,0.9732726216316223,0.86,0.11327262163162233,1
prototype,test,p228__p228_003_mic1,p228,allow,0.9733532667160034,0.86,0.11335326671600343,1
prototype,test,p225__p225_208_mic1,p225,allow,0.9734042882919312,0.86,0.11340428829193117,1
binary,valid,p227__p227_019_mic1,p227,allow,0.6837458411852518,0.5700000000000001,0.11374584118525177,1
prototype,train,p226__p226_133_mic1,p226,not_allow,0.7461146116256714,0.86,-0.1138853883743286,0
prototype,valid,p231__p231_008_mic1,p231,allow,0.9739943742752075,0.86,0.11399437427520753,1
prototype,train,p226__p226_036_mic1,p226,not_allow,0.7458896040916443,0.86,-0.1141103959083557,0
prototype,train,p225__p225_182_mic1,p225,allow,0.9743942022323608,0.86,0.11439420223236085,1
prototype,train,p228__p228_067_mic1,p228,allow,0.9754910469055176,0.86,0.11549104690551759,1
binary,valid,p227__p227_030_mic1,p227,allow,0.6856686472892761,0.5700000000000001,0.11566864728927606,1
prototype,train,p226__p226_021_mic1,p226,not_allow,0.7440669536590576,0.86,-0.11593304634094237,0
prototype,train,p225__p225_193_mic2,p225,allow,0.976395845413208,0.86,0.11639584541320802,1
prototype,train,p225__p225_280_mic1,p225,allow,0.976589560508728,0.86,0.11658956050872804,1
prototype,valid,p232__p232_003_mic1,p232,allow,0.9771407842636108,0.86,0.11714078426361085,1
prototype,train,p232__p232_034_mic1,p232,allow,0.9771941304206848,0.86,0.11719413042068483,1
prototype,test,p225__p225_266_mic1,p225,allow,0.9776790142059326,0.86,0.11767901420593263,1
prototype,valid,sp2412__Lab41-SRI-VOiCES-src-sp2412-ch153948-sg0001,sp2412,not_allow,0.7415173053741455,0.86,-0.11848269462585448,0
prototype,train,sp5789__Lab41-SRI-VOiCES-src-sp5789-ch057195-sg0025,sp5789,not_allow,0.7403441667556763,0.86,-0.11965583324432372,0
prototype,train,p228__p228_061_mic1,p228,allow,0.9797787666320801,0.86,0.11977876663208009,1
binary,train,p226__p226_104_mic1,p226,not_allow,0.4498821198940277,0.5700000000000001,-0.12011788010597235,0
binary,train,p226__p226_088_mic1,p226,not_allow,0.44974926114082336,0.5700000000000001,-0.1202507388591767,0
prototype,test,p228__p228_005_mic1,p228,allow,0.9803216457366943,0.86,0.12032164573669435,1
binary,train,sp1335__Lab41-SRI-VOiCES-src-sp1335-ch163935-sg0018,sp1335,not_allow,0.44945288946231204,0.5700000000000001,-0.12054711053768802,0
prototype,train,p226__p226_120_mic1,p226,not_allow,0.7392405271530151,0.86,-0.12075947284698485,0
prototype,train,p226__p226_150_mic1,p226,not_allow,0.7385177612304688,0.86,-0.12148223876953124,0
prototype,test,p225__p225_314_mic1,p225,allow,0.9818513989448547,0.86,0.12185139894485475,1
prototype,train,p228__p228_031_mic1,p228,allow,0.9819638729095459,0.86,0.12196387290954591,1
binary,train,sp5319__Lab41-SRI-VOiCES-src-sp5319-ch064075-sg0018,sp5319,not_allow,0.44783834119637805,0.5700000000000001,-0.12216165880362201,0
prototype,test,p225__p225_211_mic1,p225,allow,0.9822063446044922,0.86,0.1222063446044922,1
prototype,test,p231__p231_013_mic1,p231,allow,0.9828491806983948,0.86,0.12284918069839479,1
prototype,train,p231__p231_019_mic1,p231,allow,0.9831029176712036,0.86,0.12310291767120363,1
prototype,train,p226__p226_016_mic1,p226,not_allow,0.7368686199188232,0.86,-0.12313138008117674,0
binary,test,sp7000__Lab41-SRI-VOiCES-src-sp7000-ch083706-sg0005,sp7000,not_allow,0.4468575529754162,0.5700000000000001,-0.12314244702458388,0
prototype,train,p232__p232_014_mic1,p232,allow,0.9831628203392029,0.86,0.1231628203392029,1
prototype,test,p228__p228_018_mic1,p228,allow,0.9836902022361755,0.86,0.12369020223617555,1
prototype,train,p232__p232_008_mic1,p232,allow,0.9837361574172974,0.86,0.12373615741729738,1
binary,valid,p228__p228_022_mic1,p228,allow,0.6943163077036539,0.5700000000000001,0.12431630770365387,1
prototype,test,p231__p231_009_mic1,p231,allow,0.9844328165054321,0.86,0.12443281650543214,1
prototype,train,p232__p232_011_mic1,p232,allow,0.9845345616340637,0.86,0.12453456163406373,1
prototype,train,p232__p232_023_mic1,p232,allow,0.9846665859222412,0.86,0.12466658592224122,1
prototype,train,p225__p225_294_mic1,p225,allow,0.9849808216094971,0.86,0.12498082160949708,1
prototype,valid,p227__p227_021_mic1,p227,allow,0.985293984413147,0.86,0.12529398441314699,1
prototype,test,p231__p231_040_mic1,p231,allow,0.9853829145431519,0.86,0.12538291454315187,1
binary,train,p226__p226_021_mic1,p226,not_allow,0.4443959953884284,0.5700000000000001,-0.12560400461157167,0
prototype,train,p232__p232_024_mic1,p232,allow,0.9856662154197693,0.86,0.1256662154197693,1
prototype,train,p232__p232_047_mic1,p232,allow,0.9860621690750122,0.86,0.12606216907501222,1
prototype,valid,p225__p225_210_mic1,p225,allow,0.9861551523208618,0.86,0.12615515232086183,1
prototype,train,p228__p228_016_mic1,p228,allow,0.9862513542175293,0.86,0.1262513542175293,1
prototype,valid,p228__p228_015_mic1,p228,allow,0.9862972497940063,0.86,0.12629724979400636,1
prototype,valid,p228__p228_007_mic1,p228,allow,0.9864667057991028,0.86,0.1264667057991028,1
binary,test,sp1061__Lab41-SRI-VOiCES-src-sp1061-ch142358-sg0049,sp1061,not_allow,0.4434706538449973,0.5700000000000001,-0.12652934615500278,0
prototype,test,p225__p225_329_mic1,p225,allow,0.9867008924484253,0.86,0.1267008924484253,1
prototype,train,p228__p228_008_mic1,p228,allow,0.9870851039886475,0.86,0.12708510398864747,1
prototype,train,p225__p225_241_mic1,p225,allow,0.9872457981109619,0.86,0.12724579811096193,1
prototype,train,p228__p228_040_mic1,p228,allow,0.9873603582382202,0.86,0.12736035823822023,1
prototype,valid,p225__p225_007_mic1,p225,allow,0.9875921607017517,0.86,0.12759216070175172,1
binary,valid,p231__p231_067_mic1,p231,allow,0.697600245475769,0.5700000000000001,0.12760024547576898,1
prototype,train,p227__p227_058_mic1,p227,allow,0.9885178208351135,0.86,0.12851782083511354,1
prototype,train,p228__p228_023_mic1,p228,allow,0.988660454750061,0.86,0.12866045475006105,1
prototype,train,p230__p230_046_mic1,p230,not_allow,0.7313215732574463,0.86,-0.1286784267425537,0
prototype,train,p232__p232_019_mic1,p232,allow,0.9887572526931763,0.86,0.12875725269317628,1
prototype,train,p225__p225_175_mic1,p225,allow,0.9888801574707031,0.86,0.12888015747070314,1
prototype,train,p231__p231_074_mic1,p231,allow,0.9891008734703064,0.86,0.1291008734703064,1
prototype,test,p228__p228_064_mic1,p228,allow,0.989375114440918,0.86,0.12937511444091798,1
prototype,train,p225__p225_201_mic1,p225,allow,0.9895849823951721,0.86,0.12958498239517213,1
prototype,test,p231__p231_039_mic1,p231,allow,0.9896970987319946,0.86,0.12969709873199464,1
prototype,valid,p227__p227_084_mic1,p227,allow,0.9903534650802612,0.86,0.13035346508026124,1
prototype,train,p225__p225_297_mic1,p225,allow,0.99037766456604,0.86,0.13037766456604005,1
prototype,train,p227__p227_083_mic1,p227,allow,0.990397572517395,0.86,0.13039757251739503,1
prototype,train,p226__p226_125_mic1,p226,not_allow,0.7294911742210388,0.86,-0.13050882577896117,0
prototype,valid,p227__p227_065_mic1,p227,allow,0.9906533360481262,0.86,0.13065333604812623,1
prototype,train,p232__p232_048_mic1,p232,allow,0.9908004403114319,0.86,0.1308004403114319,1
prototype,train,p225__p225_264_mic2,p225,allow,0.9909075498580933,0.86,0.13090754985809328,1
prototype,train,p227__p227_075_mic1,p227,allow,0.991075336933136,0.86,0.131075336933136,1
prototype,test,p225__p225_289_mic1,p225,allow,0.9912155866622925,0.86,0.1312155866622925,1
